
MP7: 
| ImageID | Keypoints | Detector |
| 2 | SIFT | 126.91 | 40.6462 |
| 3 | SIFT | 126.64 | 40.34 |
| 4 | SIFT | 126.498 | 41.0842 |
| 5 | SIFT | 132.798 | 40.9006 |
| 6 | SIFT | 120.166 | 39.8855 |
| 7 | SIFT | 126.141 | 40.7288 |
| 8 | SIFT | 129.622 | 39.4875 |
| 9 | SIFT | 129.159 | 39.8537 |

MP9, Descriptor with timing:AKAZE
| ImageID | Keypoint Detector | KeyPoints Time | Desription Time |
| 0 | AKAZE | 84.5726 | 66.6686 |
| 1 | AKAZE | 70.6861 | 66.1397 |
| 2 | AKAZE | 79.4321 | 68.0547 |
| 3 | AKAZE | 76.379 | 64.4583 |
| 4 | AKAZE | 75.944 | 65.669 |
| 5 | AKAZE | 77.7536 | 64.3452 |
| 6 | AKAZE | 74.6174 | 66.142 |
| 7 | AKAZE | 76.7492 | 67.7818 |
| 8 | AKAZE | 73.6379 | 64.6656 |
| 9 | AKAZE | 75.0324 | 68.8712 |
|1 | BRISK | - | - |
|2 | BRISK | - | - |
|3 | BRISK | - | - |
|4 | BRISK | - | - |
|5 | BRISK | - | - |
|6 | BRISK | - | - |
|7 | BRISK | - | - |
|8 | BRISK | - | - |
|9 | BRISK | - | - |
|1 | FAST | - | - |
|2 | FAST | - | - |
|3 | FAST | - | - |
|4 | FAST | - | - |
|5 | FAST | - | - |
|6 | FAST | - | - |
|7 | FAST | - | - |
|8 | FAST | - | - |
|9 | FAST | - | - |
|1 | HARRIS | - | - |
|2 | HARRIS | - | - |
|3 | HARRIS | - | - |
|4 | HARRIS | - | - |
|5 | HARRIS | - | - |
|6 | HARRIS | - | - |
|7 | HARRIS | - | - |
|8 | HARRIS | - | - |
|9 | HARRIS | - | - |
|1 | ORB | - | - |
|2 | ORB | - | - |
|3 | ORB | - | - |
|4 | ORB | - | - |
|5 | ORB | - | - |
|6 | ORB | - | - |
|7 | ORB | - | - |
|8 | ORB | - | - |
|9 | ORB | - | - |
|1 | SHITOMASI | - | - |
|2 | SHITOMASI | - | - |
|3 | SHITOMASI | - | - |
|4 | SHITOMASI | - | - |
|5 | SHITOMASI | - | - |
|6 | SHITOMASI | - | - |
|7 | SHITOMASI | - | - |
|8 | SHITOMASI | - | - |
|9 | SHITOMASI | - | - |
|1 | SIFT | - | - |
|2 | SIFT | - | - |
|3 | SIFT | - | - |
|4 | SIFT | - | - |
|5 | SIFT | - | - |
|6 | SIFT | - | - |
|7 | SIFT | - | - |
|8 | SIFT | - | - |
|9 | SIFT | - | - |

MP9, Descriptor with timing:SIFT
| ImageID | Keypoint Detector | KeyPoints Time | Desription Time |
| 0 | AKAZE | 87.4127 | 23.6069 |
| 1 | AKAZE | 73.7219 | 26.2845 |
| 2 | AKAZE | 80.6192 | 23.996 |
| 3 | AKAZE | 74.881 | 23.8983 |
| 4 | AKAZE | 73.6264 | 23.2901 |
| 5 | AKAZE | 76.8191 | 23.5064 |
| 6 | AKAZE | 71.4859 | 24.9122 |
| 7 | AKAZE | 70.1112 | 23.9401 |
| 8 | AKAZE | 70.8655 | 24.9972 |
| 9 | AKAZE | 69.1967 | 25.3054 |
| 0 | BRISK | 42.0757 | 47.6476 |
| 1 | BRISK | 39.6024 | 38.7593 |
| 2 | BRISK | 40.1991 | 42.2842 |
| 3 | BRISK | 39.6758 | 41.6606 |
| 4 | BRISK | 39.7207 | 43.6839 |
| 5 | BRISK | 40.4546 | 41.6189 |
| 6 | BRISK | 39.1254 | 42.1565 |
| 7 | BRISK | 39.7973 | 42.0231 |
| 8 | BRISK | 39.8214 | 41.9332 |
| 9 | BRISK | 40.5146 | 41.6101 |
| 0 | FAST | 0.517563 | 24.3843 |
| 1 | FAST | 0.35833 | 17.4819 |
| 2 | FAST | 0.370358 | 18.5601 |
| 3 | FAST | 0.263817 | 23.3076 |
| 4 | FAST | 0.381346 | 22.8049 |
| 5 | FAST | 0.387468 | 20.9798 |
| 6 | FAST | 0.376904 | 23.6687 |
| 7 | FAST | 0.367079 | 22.8293 |
| 8 | FAST | 0.336385 | 18.3895 |
| 9 | FAST | 0.314813 | 23.4915 |
| 0 | HARRIS | 14.9704 | 17.6048 |
| 1 | HARRIS | 14.077 | 20.0186 |
| 2 | HARRIS | 15.0592 | 19.5264 |
| 3 | HARRIS | 13.1288 | 18.3699 |
| 4 | HARRIS | 13.5236 | 19.1325 |
| 5 | HARRIS | 13.7613 | 18.8357 |
| 6 | HARRIS | 13.2784 | 17.4618 |
| 7 | HARRIS | 13.9359 | 19.8808 |
| 8 | HARRIS | 13.7717 | 19.3977 |
| 9 | HARRIS | 13.3803 | 18.6366 |
| 0 | ORB | 7.1965 | 44.7804 |
| 1 | ORB | 7.41786 | 42.7116 |
| 2 | ORB | 7.34163 | 45.0987 |
| 3 | ORB | 7.03771 | 46.0936 |
| 4 | ORB | 7.63685 | 43.9617 |
| 5 | ORB | 7.22254 | 45.0945 |
| 6 | ORB | 7.42006 | 48.2092 |
| 7 | ORB | 7.09291 | 49.1881 |
| 8 | ORB | 7.47575 | 50.0728 |
| 9 | ORB | 6.93848 | 50.9607 |
| 0 | SHITOMASI | 14.8638 | 16.0468 |
| 1 | SHITOMASI | 15.8351 | 19.5264 |
| 2 | SHITOMASI | 15.8835 | 21.7233 |
| 3 | SHITOMASI | 14.9453 | 19.2783 |
| 4 | SHITOMASI | 15.0241 | 18.3319 |
| 5 | SHITOMASI | 14.243 | 19.0377 |
| 6 | SHITOMASI | 14.2047 | 19.5847 |
| 7 | SHITOMASI | 14.3665 | 18.7277 |
| 8 | SHITOMASI | 13.8263 | 20.2105 |
| 9 | SHITOMASI | 14.9608 | 19.1873 |
| 0 | SIFT | 129.881 | 104.524 |
| 1 | SIFT | 101.286 | 78.0256 |
| 2 | SIFT | 102.786 | 76.4346 |
| 3 | SIFT | 102.525 | 79.6032 |
| 4 | SIFT | 101.533 | 83.8689 |
| 5 | SIFT | 128.227 | 79.3319 |
| 6 | SIFT | 95.0377 | 77.3073 |
| 7 | SIFT | 97.0626 | 77.839 |
| 8 | SIFT | 107.532 | 82.956 |
| 9 | SIFT | 103.967 | 77.2544 |
